Wall time,Step,Value
1712113825.8328202,89463,-43.91162109375
1712113827.971755,89565,-43.910499572753906
1712113832.0715778,89746,-43.349708557128906
1712113838.9098501,90056,-45.941551208496094
1712113851.099042,90744,-50.454471588134766
1712113870.2227287,91875,-54.351478576660156
1712113934.05031,95818,-49.15642547607422
1712113936.5130324,95931,-49.34280014038086
1712113949.7125776,96713,-54.76869583129883
1712113995.8417542,98880,-48.69443130493164
1712113997.5996451,98968,-49.91524124145508
1712114012.241503,99555,-50.88737106323242
1712114027.0588362,100248,-53.30120849609375
1712114080.7111888,101497,-43.91763687133789
1712114089.8794038,101701,-43.978878021240234
1712114114.1948795,102222,-46.346092224121094
1712114153.1651883,103052,-47.960479736328125
1712114154.9909163,103093,-47.86933135986328
1712114211.7302198,104307,-111.88705444335938
1712114214.9909046,104381,-111.17046356201172
1712114247.526729,105086,-115.26875305175781
1712114275.710057,105688,-114.20825958251953
1712114323.657955,106694,-115.5406494140625
1712114369.551862,107658,-110.4100570678711
1712114428.032397,108990,-114.14917755126953
1712114445.0509305,109369,-113.53993225097656
1712114507.1679096,111283,-102.59456634521484
1712114523.7818537,111718,-104.95685577392578
1712114567.8639028,112891,-114.4434814453125
1712114572.1403477,112999,-114.95408630371094
1712114646.0384164,115546,-115.73387908935547
1712114654.451925,115840,-115.82926940917969
1712114690.9749916,117561,-109.14099884033203
1712114716.697891,118785,-111.45054626464844
1712114722.3448725,119057,-110.89635467529297
1712114737.991238,119793,-110.22000122070312
1712114768.327885,121146,-84.98025512695312
1712114808.2053235,122812,-70.72840881347656
1712114991.6338003,131558,-70.77128601074219
1712115040.8620486,133804,-67.10406494140625
1712115042.7645478,133857,-66.69282531738281
1712115055.2113183,134449,-68.67640686035156
1712115069.2228665,135013,-67.99119567871094
1712115091.8820877,136059,-67.76995086669922
1712115096.1084,136274,-68.09765625
1712115102.2076552,136560,-67.86524963378906
1712115116.324553,137188,-68.03264617919922
1712115122.7342582,137508,-68.56400299072266
1712115124.754809,137589,-67.72965240478516
1712115126.709914,137668,-66.92779541015625
1712115256.2935503,142391,-54.91961669921875
1712115326.4202268,144866,-60.71156692504883
1712115443.7154653,149458,-62.79140090942383
1712115463.016889,150108,-61.70911407470703
1712115464.8353984,150145,-61.3665771484375
1712115537.9755616,152349,-53.028892517089844
1712115646.5983286,156417,-58.46805191040039
1712115728.8533978,159765,-61.49453353881836
1712115748.2210593,160466,-59.14799499511719
1712115765.777692,161061,-53.924339294433594
1712115861.741311,164500,-55.522613525390625
1712115949.6814754,168005,-57.89935302734375
1712115998.6232736,169815,-57.15264129638672
1712116016.211332,170478,-57.540245056152344
1712116029.827394,170989,-58.6081657409668
1712116047.5639572,171648,-57.97993087768555
1712116055.2800562,171910,-56.7114372253418
1712116094.1421711,173310,-56.38249588012695
1712116113.929374,174069,-57.18711853027344
1712116206.317163,177888,-61.612464904785156
1712116220.3063357,178483,-61.78194808959961
1712116234.4052665,179076,-61.6959228515625
1712116291.0341992,181277,-58.050331115722656
1712116296.8924086,181493,-57.36064147949219
1712116331.282329,182858,-59.3930778503418
1712116386.8546648,185238,-61.324432373046875
1712116413.0204682,186332,-62.40501403808594
1712116566.69238,192923,-58.036903381347656
1712116578.7791257,193505,-60.267398834228516
1712116612.71235,194913,-61.658538818359375
1712116662.7980697,196989,-60.725852966308594
1712116695.017405,198372,-62.626930236816406
1712116746.7095544,200739,-63.91977310180664
1712116752.7134707,200982,-62.714412689208984
1712116792.9622676,202759,-62.10551834106445
1712116850.6021383,205209,-61.938663482666016
1712116983.4693718,211345,-59.14195251464844
1712117071.5202188,215657,-60.61732482910156
1712117194.030815,221902,-61.999427795410156
1712117252.5727532,225126,-58.88673400878906
1712117272.7460868,226278,-64.72215270996094
1712117281.5577164,226775,-65.8185043334961
1712117340.044304,229934,-62.73748016357422
1712117345.3036978,230173,-63.65514373779297
1712117351.8830023,230476,-65.6118392944336
1712117357.892091,230847,-65.934326171875
1712117360.6080704,231021,-65.82437133789062
1712117368.3101265,231453,-62.89375686645508
1712117383.1279018,232229,-53.5653190612793
1712117437.1444976,235578,-63.84176254272461
1712117459.6339464,237069,-63.62062072753906
1712117470.9351933,237747,-61.904571533203125
1712117522.9244874,240873,-52.95094680786133
1712117665.4567766,248971,-57.79826736450195
1712117742.2978454,252622,-45.03226089477539
1712117777.259197,254060,-55.8625602722168
1712117780.5216773,254164,-54.15251922607422
1712117810.1149445,255258,-47.025535583496094
1712117886.1281953,258737,-50.115631103515625
1712117889.7522042,258926,-49.79664993286133
1712117898.9767146,259448,-51.70444107055664
1712117903.7090645,259697,-52.58981704711914
1712117919.7829473,260488,-53.131771087646484
1712117937.7335942,261374,-48.358154296875
1712117940.4230409,261544,-48.52117919921875
1712117978.222226,263713,-51.31523132324219
1712118015.987399,265661,-51.735904693603516
1712118022.5263565,266019,-52.397796630859375
1712118040.2128222,266949,-53.058597564697266
1712118152.2404675,273309,-56.761993408203125
1712118166.8383076,274148,-55.93754959106445
1712118191.6821294,275577,-54.102088928222656
1712118214.9269974,276898,-50.896053314208984
1712118231.9892385,277898,-55.07748794555664
1712118240.3195326,278312,-50.43433380126953
1712118253.4621005,279085,-50.628448486328125
1712118257.027732,279295,-50.72100067138672
1712118282.573681,280722,-52.738162994384766
1712118286.100581,280927,-52.88205337524414
1712118407.732475,288357,-53.906551361083984
1712118421.623912,289123,-57.20354080200195
1712118497.3209722,293144,-54.5401725769043
1712118588.1504464,298828,-59.15225601196289
1712118614.3750725,300275,-55.0212516784668
1712118636.5112176,301608,-54.635704040527344
1712118675.856184,304103,-61.227691650390625
1712118696.8423216,305362,-61.5233039855957
1712118701.9308548,305719,-61.304996490478516
1712118768.7362685,309891,-59.508331298828125
1712118846.2438009,315075,-63.71267318725586
1712118925.491806,320212,-62.25870132446289
1712118928.0821977,320349,-62.885528564453125
1712118967.9220352,323122,-68.30889129638672
1712119007.6712136,325888,-65.52000427246094
1712119075.7368927,330381,-61.44859313964844
1712119168.6182992,336762,-65.14441680908203
1712119256.9282165,342338,-59.970237731933594
1712119322.399586,346378,-68.9348373413086
1712119373.5169733,349490,-65.13627624511719
1712119392.5372593,350401,-61.61277389526367
1712119421.400616,352109,-58.814693450927734
1712119441.9771907,353095,-57.726104736328125
1712119447.7399828,353349,-57.27509307861328
1712119452.5650384,353604,-56.25348663330078
1712119458.2987661,353868,-55.546321868896484
1712119496.939424,355982,-57.70534896850586
1712119679.8500347,366928,-63.44111251831055
1712119731.0764198,370101,-63.48255157470703
1712119766.5082896,372075,-62.608795166015625
1712119795.4312315,373687,-61.364620208740234
1712119847.4775212,376642,-63.00637435913086
1712119858.866822,377379,-63.625648498535156
1712119898.1168504,379808,-65.77654266357422
1712120109.3683271,392381,-61.445308685302734
1712120125.700255,393426,-62.665428161621094
1712120137.848877,394084,-63.61821365356445
1712120186.6097982,396993,-63.60332107543945
1712120225.6440792,398988,-57.98817443847656
1712120255.0792649,400508,-57.43830490112305
1712120256.6260884,400622,-58.704933166503906
1712120286.2506325,402548,-64.88337707519531
1712120399.8571236,409029,-59.0832633972168
1712120428.2727325,410640,-58.21757888793945
1712120453.6801858,412075,-54.676124572753906
1712120475.3901985,413317,-56.05997085571289
1712120502.3163936,414881,-60.62333679199219
1712120563.304132,418487,-59.043521881103516
1712120694.1874688,425458,-58.57814025878906
1712120705.5597656,426149,-60.464111328125
1712120750.6899981,428578,-60.17194747924805
1712120759.974308,429109,-60.55949020385742
1712120783.6008804,430258,-65.38580322265625
1712120805.263476,431439,-62.47153091430664
1712120906.7107196,437107,-56.53974151611328
1712121101.7307627,448202,-52.38957595825195
1712121117.0874267,448961,-55.93661880493164
1712121156.9790533,451265,-59.50772476196289
1712121172.8725665,452094,-61.94019317626953
1712121179.6346679,452520,-58.7430419921875
1712121186.6715748,452947,-59.38689422607422
1712121197.536364,453524,-55.77764892578125
1712121358.4436913,462796,-61.240997314453125
1712121370.203225,463403,-59.78937530517578
1712121378.314972,463873,-59.93098068237305
1712121526.544705,472075,-63.46913146972656
1712121551.177518,473687,-65.49907684326172
1712121561.5646567,474384,-64.29865264892578
1712121619.3532295,477926,-57.02604675292969
1712121704.303725,482726,-60.206172943115234
1712121741.3668706,484732,-60.05815505981445
1712121775.7505598,486850,-63.1130256652832
1712121800.7189963,488373,-65.96278381347656
1712121820.3504558,489455,-64.2978515625
1712121834.303323,490239,-62.682281494140625
1712121858.788866,491707,-64.20973205566406
1712121871.5333538,492408,-67.11660766601562
1712121903.542428,494088,-61.3123779296875
1712121917.1673603,494759,-58.1446533203125
1712121925.2531772,495188,-59.791019439697266
1712121935.6316845,495742,-58.887813568115234
1712121937.2790377,495848,-59.54684829711914
1712121960.9024456,497143,-61.357364654541016
1712121985.1236184,498574,-63.16510772705078
1712122007.2987545,499895,-64.58365631103516
1712122079.669333,503445,-60.828433990478516
1712122095.7463775,504274,-61.18467712402344
1712122153.99138,507392,-60.480777740478516
1712122192.3485436,509529,-61.57423400878906
1712122220.7843752,511101,-59.970821380615234
1712122231.0856164,511666,-61.20833969116211
1712122243.3051777,512309,-59.92811584472656
1712122261.2517133,513441,-59.17057800292969
1712122306.8392947,516310,-62.71229553222656
1712122323.549242,517228,-61.68325424194336
1712122339.258032,518071,-59.57663345336914
1712122451.8388052,523991,-57.259918212890625
1712122504.7827644,527125,-66.61883544921875
1712122560.561655,530373,-72.63034057617188
1712122577.6223047,531275,-69.76725769042969
1712122637.6780174,534486,-55.512420654296875
1712122683.2561612,536811,-51.59956741333008
1712122698.2758465,537669,-55.43352127075195
1712122866.5724087,545951,-62.390445709228516
1712122906.6034994,548001,-59.634986877441406
1712122957.1945057,550814,-62.26532745361328
1712122969.1452165,551500,-62.062294006347656
1712123139.4193125,560474,-63.8347282409668
1712123147.839181,560938,-60.08524703979492
1712123200.9630387,563609,-59.49400329589844
1712123228.570596,564937,-60.78038024902344
1712123236.1471965,565382,-58.87162399291992
1712123239.034608,565505,-58.17279052734375
1712123276.0064251,567459,-55.165618896484375
1712123341.1883924,571003,-62.415740966796875
1712123360.4982893,571931,-62.10847473144531
1712123405.8525789,574220,-55.62675857543945
1712123473.5137784,577609,-59.779876708984375
1712123508.520208,579407,-62.260555267333984
1712123513.5782194,579619,-60.54798889160156
1712123519.5066347,579942,-59.04158401489258
1712123575.28776,582882,-59.369667053222656
1712123629.602061,585740,-58.91499328613281
1712123660.564838,587417,-59.63776779174805
1712123681.2125328,588505,-61.241844177246094
1712123848.9876862,596441,-51.01640319824219
1712123918.7612138,599642,-53.76560592651367
1712123986.5732753,602841,-52.67645263671875
1712124021.0848126,604679,-58.39560317993164
1712124048.8191147,606030,-52.55418014526367
1712124073.2440517,607241,-52.91391372680664
1712124077.3572824,607491,-53.96259307861328
